Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
25.0,4.8,22.5491,88.400467,22.5591,88.410467,17-02-2022,08:35,08:45,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16
31.0,4.7,12.323225,76.630028,12.363225,76.670028,07-03-2022,16:45,16:55,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26
37.0,4.7,12.981615,80.231598,12.991615,80.241598,05-03-2022,08:35,08:40,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,29
32.0,4.9,11.021278,76.995017,11.101278,77.075017,31-03-2022,19:10,19:25,Fog,Jam,2,Meal,electric_scooter,1.0,Yes,Metropolitian,42
21.0,4.7,12.986047,80.218114,13.026047,80.258114,05-04-2022,14:15,14:20,Stormy,High,0,Snack,motorcycle,0.0,No,Metropolitian,15
35.0,3.8,22.551084,88.354127,22.631084,88.434127,16-02-2022,18:55,0.791666667,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,33
29.0,4.8,26.905287,75.794592,26.965287,75.854592,01-04-2022,22:40,22:55,Stormy,Low,2,Snack,scooter,1.0,No,Urban,15
20.0,4.7,0.0,0.0,0.05,0.05,17-02-2022,20:55,21:05,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,25
26.0,4.7,0.0,0.0,0.01,0.01,26-03-2022,08:40,08:55,Windy,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,10
22.0,5.0,10.96185,76.971082,11.09185,77.101082,20-03-2022,21:50,0.916666667,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35
34.0,4.6,0.0,0.0,0.11,0.11,12-02-2022,21:30,21:45,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37
22.0,4.7,17.451976,78.385883,17.501976,78.435883,01-03-2022,17:30,17:35,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,23
,,12.975996,80.221898,13.055996,80.301898,16-03-2022,0.75,18:05,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43
34.0,5.0,12.986047,80.218114,13.016047,80.248114,03-03-2022,19:45,0.833333333,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,29
,,18.516216,73.842527,18.606216,73.932527,29-03-2022,,21:15,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,40
20.0,4.9,12.297954,76.665169,12.357954,76.725169,05-04-2022,17:25,17:30,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,17
26.0,4.5,10.020683,76.310631,10.030683,76.320631,17-02-2022,0.458333333,11:10,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,22
38.0,4.8,21.185047,72.80859,21.275047,72.89859,04-03-2022,17:15,17:20,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,42
20.0,4.7,21.170096,72.789122,21.260096,72.879122,02-04-2022,18:20,18:30,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,26
,,21.17106,72.789292,21.30106,72.919292,06-03-2022,,18:55,Fog,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,45
37.0,4.8,12.323225,76.630028,12.333225,76.640028,21-03-2022,11:20,11:25,Sunny,High,2,Meal,motorcycle,1.0,No,Metropolitian,21
33.0,4.4,22.310237,73.158921,22.420237,73.268921,10-03-2022,0.916666667,22:15,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48
21.0,4.7,22.725835,75.887648,22.735835,75.897648,28-03-2022,09:25,09:35,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,13
36.0,4.3,22.732225,75.874765,22.772225,75.914765,05-03-2022,0.625,15:15,Cloudy,High,2,Buffet,motorcycle,2.0,No,Urban,39
39.0,4.1,12.933298,77.614293,13.013298,77.694293,12-03-2022,21:35,21:45,Fog,Jam,2,Snack,scooter,1.0,No,Urban,41
23.0,4.9,22.310329,73.169083,22.350329,73.209083,30-03-2022,14:25,14:30,Stormy,High,2,Drinks,motorcycle,,No,Metropolitian,28
20.0,4.8,21.149569,72.772697,21.239569,72.862697,14-03-2022,23:25,23:30,Sandstorms,Low,0,Drinks,motorcycle,,No,Metropolitian,18
,,-22.552672,-88.352885,22.662672,88.462885,16-02-2022,,20:45,Stormy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,46
24.0,4.7,17.451976,78.385883,17.471976,78.405883,15-03-2022,10:15,10:20,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,13
21.0,5.0,18.51421,73.838429,18.52421,73.848429,26-03-2022,08:20,08:25,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,15
28.0,4.9,26.49095,80.318656,26.62095,80.448656,12-02-2022,18:45,18:55,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,20
33.0,4.9,12.323994,76.626167,12.403994,76.706167,04-04-2022,22:50,22:55,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,18
39.0,4.7,17.426228,78.407495,17.506228,78.487495,27-03-2022,22:15,22:25,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,16
27.0,4.7,22.310526,73.170937,22.380526,73.240937,31-03-2022,1,24:05:00,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,26
33.0,5.0,22.732225,75.874765,22.762225,75.904765,28-03-2022,20:40,20:55,Fog,Jam,0,Buffet,motorcycle,,No,Metropolitian,27
32.0,5.0,12.933298,77.614293,13.063298,77.744293,02-03-2022,17:35,17:40,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,37
21.0,4.9,17.41233,78.449654,17.44233,78.479654,21-03-2022,22:50,23:05,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,15
27.0,4.7,23.359194,85.325447,23.429194,85.395447,20-03-2022,17:55,18:10,Cloudy,Medium,2,Meal,scooter,1.0,No,Urban,27
30.0,4.7,0.0,0.0,0.11,0.11,12-03-2022,17:10,17:25,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,30
28.0,4.5,26.90519,75.810753,26.99519,75.900753,06-03-2022,21:50,22:05,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,22
33.0,5.0,12.934365,77.616155,12.974365,77.656155,05-03-2022,16:45,16:55,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38
32.0,3.7,22.311358,73.164798,22.391358,73.244798,02-03-2022,21:55,22:10,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,35
31.0,4.5,17.45971,78.368855,17.51971,78.428855,24-03-2022,19:50,0.833333333,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,25
,,0.0,0.0,0.06,0.06,05-04-2022,,19:55,Sandstorms,Jam,1,Meal,scooter,0.0,No,Urban,25
23.0,4.9,18.563934,73.915367,18.643935,73.995367,02-04-2022,19:15,19:20,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,24
34.0,4.3,21.186608,72.794136,21.256608,72.864136,27-03-2022,21:30,21:40,Windy,Jam,2,Meal,motorcycle,1.0,No,Urban,31
27.0,4.7,18.546947,73.900626,18.576947,73.930626,30-03-2022,22:25,22:40,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,18
22.0,4.7,19.12663,72.829976,19.20663,72.909976,12-03-2022,18:30,18:35,Stormy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,22
,,26.902908,75.792934,26.952908,75.842934,24-03-2022,0.833333333,20:05,Cloudy,Jam,1,Meal,scooter,1.0,No,Metropolitian,32
24.0,4.1,21.17106,72.789292,21.19106,72.809292,24-03-2022,08:45,0.375,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23
27.0,4.7,18.546947,73.900626,18.566947,73.920626,01-04-2022,11:40,11:45,Fog,High,1,Drinks,scooter,0.0,No,Metropolitian,30
34.0,4.9,19.065838,72.832658,19.085838,72.852658,05-03-2022,08:20,08:25,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29
25.0,4.6,18.569156,73.774723,18.659156,73.864723,29-03-2022,18:10,18:15,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,30
33.0,4.5,12.913041,77.683237,12.993041,77.763237,06-03-2022,19:35,19:45,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,29
36.0,4.2,11.025083,77.015393,11.045083,77.035393,21-03-2022,11:40,11:50,Fog,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31
21.0,4.8,22.552996,88.35231,22.622996,88.42231,16-02-2022,19:25,19:40,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,18
22.0,4.9,22.745049,75.892471,22.855049,76.002471,06-03-2022,18:25,18:30,Sandstorms,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,29
28.0,4.9,22.727021,75.884167,22.767021,75.924167,24-03-2022,14:10,14:15,Stormy,High,2,Meal,electric_scooter,1.0,No,Urban,10
33.0,4.8,15.561295,73.749478,15.611295,73.799478,13-02-2022,21:55,22:05,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,26
29.0,4.3,30.372202,78.077151,30.412202,78.117151,13-02-2022,14:55,15:05,Stormy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33
29.0,4.7,22.310329,73.169083,22.320329,73.179083,24-03-2022,11:15,11:30,Fog,High,1,Drinks,motorcycle,1.0,No,Urban,30
32.0,4.9,18.55144,73.804855,18.63144,73.884855,29-03-2022,23:55,1,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,20
26.0,4.5,26.902908,75.792934,27.012908,75.902934,10-03-2022,23:10,23:15,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,,20
29.0,4.5,12.933298,77.614293,12.993298,77.674293,03-03-2022,23:30,23:45,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,13
39.0,4.6,26.956431,75.776649,26.996431,75.816649,19-03-2022,15:25,15:35,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Urban,27
35.0,4.3,12.297954,76.665169,12.387954,76.755169,18-03-2022,18:35,18:50,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,45
23.0,4.5,22.727021,75.884167,22.737021,75.894167,24-03-2022,11:30,11:35,Fog,High,0,Buffet,motorcycle,0.0,No,Metropolitian,22
34.0,4.6,26.766536,75.837333,26.836536,75.907333,31-03-2022,23:40,23:50,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,27
20.0,4.9,22.760072,75.892574,22.870072,76.002574,06-03-2022,18:50,0.791666667,Fog,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,37
38.0,4.6,12.970324,77.645748,13.040324,77.715748,29-03-2022,23:15,23:20,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25
28.0,4.6,26.846156,75.8023,26.866156,75.8223,01-04-2022,11:55,0.5,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,13
20.0,4.7,0.0,0.0,0.01,0.01,30-03-2022,09:50,10:05,Fog,Low,1,Snack,motorcycle,0.0,No,Urban,19
36.0,4.8,19.003517,72.82765,19.033517,72.85765,03-04-2022,0.833333333,20:05,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,34
29.0,4.3,17.431477,78.40035,17.491477,78.46035,03-04-2022,23:30,23:45,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,16
35.0,4.2,11.006686,76.951736,11.036686,76.981736,21-03-2022,22:55,23:10,Windy,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,34
39.0,4.8,17.411028,78.329645,17.431028,78.349645,01-03-2022,09:40,09:55,Windy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,23
38.0,4.7,23.374878,85.335739,23.424878,85.385739,26-03-2022,23:30,23:45,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,20
29.0,5.0,26.90294,75.793007,27.03294,75.923007,06-03-2022,21:30,21:35,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,20
33.0,5.0,23.214294,77.435361,23.274294,77.495361,13-02-2022,23:40,23:45,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,20
22.0,4.7,19.103249,72.846749,19.233249,72.976749,06-04-2022,23:10,23:20,Cloudy,Low,2,Meal,scooter,1.0,No,Urban,23
23.0,4.7,12.939496,77.625999,12.959496,77.645999,28-03-2022,11:50,12:05,Fog,High,2,Meal,electric_scooter,0.0,No,Metropolitian,28
32.0,4.6,12.316967,76.603067,12.406967,76.693067,18-03-2022,17:10,17:25,Cloudy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,47
21.0,4.7,12.310972,76.659264,12.320972,76.669264,26-03-2022,10:45,10:55,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,19
38.0,4.9,17.431477,78.40035,17.441477,78.41035,11-03-2022,09:15,09:30,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28
24.0,4.9,11.022298,76.998349,11.102298,77.078349,12-03-2022,21:30,21:45,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,38
26.0,4.9,23.369746,85.33982,23.399746,85.36982,26-03-2022,17:25,17:40,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,26
26.0,4.9,0.0,0.0,0.06,0.06,03-04-2022,23:55,24:10:00,Cloudy,Low,2,Snack,motorcycle,1.0,No,,15
34.0,4.7,22.311844,73.165081,22.371844,73.225081,03-04-2022,22:10,22:15,Cloudy,Low,2,Meal,scooter,0.0,No,Metropolitian,15
23.0,4.5,0.0,0.0,0.02,0.02,15-02-2022,11:10,11:25,Windy,High,2,Meal,motorcycle,0.0,No,Metropolitian,14
28.0,4.8,12.970324,77.645748,12.980324,77.655748,13-03-2022,08:15,08:25,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,19
34.0,4.2,23.351489,85.324253,23.431489,85.404253,08-03-2022,20:10,20:20,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,31
38.0,4.6,23.266261,77.379605,23.286261,77.399605,11-02-2022,08:25,08:35,Sunny,Low,0,Drinks,motorcycle,0.0,No,Urban,22
23.0,4.9,26.902328,75.794257,26.982328,75.874257,06-03-2022,23:35,23:50,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29
24.0,4.6,26.902328,75.794257,26.942328,75.834257,19-03-2022,12:20,12:35,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Urban,19
34.0,5.0,21.160437,72.774209,21.270437,72.884209,04-03-2022,23:25,23:30,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25
35.0,4.9,27.157772,78.04725,27.227772,78.11725,16-02-2022,17:20,17:35,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,40
37.0,5.0,13.026286,80.275235,13.096286,80.345235,02-04-2022,17:25,17:40,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,29
39.0,4.9,22.526461,88.364453,22.616461,88.454453,14-02-2022,18:55,0.791666667,Cloudy,Medium,2,Drinks,electric_scooter,2.0,No,Metropolitian,41
27.0,4.4,17.426228,78.407495,17.476228,78.457495,01-03-2022,19:25,19:30,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46
39.0,4.8,0.0,0.0,0.08,0.08,12-03-2022,17:25,17:35,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,25
35.0,4.9,22.307898,73.167788,22.377898,73.237788,27-03-2022,19:55,20:05,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,41
36.0,4.2,22.728163,75.884212,22.838163,75.994212,14-03-2022,22:15,22:25,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,37
20.0,4.9,21.157729,72.768726,21.267729,72.878726,02-03-2022,0.833333333,20:10,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,37
39.0,4.6,18.536718,73.830327,18.576718,73.870328,24-03-2022,15:30,15:45,Sandstorms,Medium,1,Meal,scooter,1.0,No,Urban,26
36.0,4.8,23.354422,85.3329,23.424422,85.4029,02-04-2022,21:30,21:35,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25
37.0,4.9,11.003669,76.976494,11.013669,76.986494,28-03-2022,10:55,11:05,Sunny,Low,2,Snack,scooter,0.0,No,Urban,17
24.0,5.0,0.0,0.0,0.04,0.04,15-02-2022,15:55,0.666666667,Windy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20
35.0,4.9,18.51421,73.838429,18.56421,73.888429,21-03-2022,17:20,17:30,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,38
31.0,3.9,12.323994,76.626167,12.433994,76.736167,02-03-2022,20:30,20:35,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,44
23.0,4.7,21.149834,72.778666,21.209834,72.838666,21-03-2022,20:45,20:55,Stormy,Jam,1,Buffet,scooter,0.0,No,Urban,21
37.0,4.9,12.933284,77.615428,12.973284,77.655428,26-03-2022,12:40,12:45,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19
36.0,4.7,18.569156,73.774723,18.579156,73.784723,03-04-2022,09:40,09:45,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25
21.0,4.7,12.326356,76.619103,12.416356,76.709103,10-03-2022,17:30,17:45,Sunny,Medium,2,Buffet,scooter,1.0,No,Metropolitian,16
33.0,4.9,17.41233,78.449654,17.49233,78.529654,14-03-2022,0.958333333,23:15,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,18
33.0,4.7,10.006881,76.345397,10.026881,76.365397,11-02-2022,11:20,11:30,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,27
27.0,4.7,13.091809,80.219104,13.171809,80.299104,18-03-2022,18:15,18:25,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Urban,25
30.0,4.6,26.474133,80.3481,26.564133,80.4381,16-02-2022,19:25,19:40,Stormy,Jam,0,Snack,motorcycle,3.0,Yes,Semi-Urban,52
,,12.934365,77.616155,13.064365,77.746155,20-03-2022,17:20,17:35,Sandstorms,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,22
23.0,4.7,0.0,0.0,0.02,0.02,24-03-2022,11:20,11:25,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,29
23.0,4.7,11.024839,77.007003,11.094839,77.077003,14-03-2022,18:45,0.791666667,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,31
33.0,4.8,13.026286,80.275235,13.156286,80.405235,14-03-2022,20:50,20:55,Cloudy,Jam,1,Buffet,scooter,2.0,No,Metropolitian,47
38.0,4.5,11.010375,76.95295,11.060375,77.00295,26-03-2022,22:20,22:30,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24
22.0,4.8,21.149569,72.772697,21.219569,72.842697,16-03-2022,21:55,0.916666667,Sunny,Jam,1,Snack,scooter,,No,Metropolitian,13
32.0,4.5,11.022169,76.999594,11.152169,77.129594,06-04-2022,17:15,17:25,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39
,,-17.450851,78.379347,17.520851,78.449347,04-04-2022,,0.791666667,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Semi-Urban,48
24.0,4.9,12.310972,76.659264,12.330972,76.679264,30-03-2022,10:35,10:50,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,18
25.0,4.6,22.310329,73.169083,22.400329,73.259083,18-03-2022,18:40,18:45,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,22
22.0,4.6,19.12663,72.829976,19.25663,72.959976,08-03-2022,17:15,17:25,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Urban,15
24.0,4.5,21.170096,72.789122,21.180096,72.799122,26-03-2022,11:40,11:55,Stormy,High,1,Meal,scooter,0.0,No,Urban,11
25.0,4.6,0.0,0.0,0.03,0.03,17-02-2022,19:55,0.833333333,Stormy,Jam,2,Buffet,scooter,,No,Metropolitian,13
27.0,4.7,0.0,0.0,0.13,0.13,18-03-2022,18:50,18:55,Sunny,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,13
21.0,4.6,17.430448,78.418213,17.520448,78.508213,18-03-2022,17:25,17:35,Sunny,Medium,1,Drinks,motorcycle,,No,Metropolitian,11
21.0,4.6,23.232357,77.429989,23.282357,77.479989,17-02-2022,0.75,18:05,Sunny,Medium,2,Drinks,scooter,0.0,No,Urban,12
20.0,4.8,18.533811,73.899315,18.583811,73.949315,19-03-2022,0.875,21:05,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30
29.0,4.8,19.091458,72.827808,19.221458,72.957808,16-03-2022,19:30,19:40,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,19
34.0,4.7,17.433809,78.386744,17.443809,78.396744,01-04-2022,0.375,09:10,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,26
33.0,4.8,12.352058,76.60665,12.412058,76.66665,19-03-2022,19:55,20:05,Fog,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,30
36.0,4.8,13.081878,80.248519,13.141878,80.308519,24-03-2022,22:45,22:50,Sunny,Low,2,Buffet,scooter,0.0,No,Urban,15
38.0,4.9,17.428294,78.404423,17.478294,78.454423,03-04-2022,20:35,20:45,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,33
20.0,4.6,18.516216,73.842527,18.646216,73.972527,02-03-2022,21:40,21:45,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,23
34.0,4.3,0.0,0.0,0.13,0.13,02-04-2022,0.875,21:15,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,37
35.0,4.7,25.453436,81.833167,25.493436,81.873167,13-02-2022,14:45,14:50,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,29
36.0,4.6,18.569156,73.774723,18.579156,73.784723,21-03-2022,08:55,09:05,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,15
23.0,4.9,12.934365,77.616155,13.014365,77.696155,23-03-2022,20:40,20:55,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,24
,,26.463504,80.372929,26.473504,80.382929,13-02-2022,,10:20,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,18
32.0,4.6,21.149669,72.772629,21.159669,72.782629,05-04-2022,11:55,0.5,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,25
25.0,4.9,0.0,0.0,0.06,0.06,15-02-2022,20:15,20:25,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,29
29.0,4.7,21.157729,72.768726,21.167729,72.778726,09-03-2022,09:50,09:55,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,13
26.0,4.8,23.39925,85.390464,23.48925,85.480464,04-04-2022,22:20,22:25,Windy,Low,2,Snack,motorcycle,1.0,No,Urban,16
28.0,4.0,22.308096,73.167753,22.388096,73.247753,27-03-2022,21:45,21:55,Fog,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,44
37.0,4.3,17.440827,78.393391,17.530827,78.483391,12-03-2022,22:15,22:30,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,35
,,23.369746,85.33982,23.479746,85.44982,27-03-2022,,19:25,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,53
33.0,4.7,0.0,0.0,0.05,0.05,15-02-2022,19:20,19:35,Sandstorms,Jam,2,Snack,motorcycle,0.0,No,,26
26.0,4.5,17.483216,78.552111,17.523216,78.592111,21-03-2022,13:30,13:40,Sunny,High,0,Drinks,motorcycle,2.0,No,Metropolitian,41
31.0,4.8,13.022394,80.242439,13.042394,80.262439,07-03-2022,10:25,10:30,Sandstorms,Low,2,Meal,electric_scooter,1.0,No,Urban,22
27.0,5.0,19.176269,72.836721,19.266269,72.926721,16-03-2022,17:15,17:25,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,39
30.0,4.9,26.902328,75.794257,26.922328,75.814257,05-04-2022,10:50,10:55,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,18
21.0,4.5,12.986047,80.218114,12.996047,80.228114,01-04-2022,11:20,11:30,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,27
30.0,4.8,0.0,0.0,0.01,0.01,24-03-2022,11:45,11:55,Fog,High,2,Snack,scooter,1.0,No,Metropolitian,31
20.0,4.9,23.355164,85.324097,23.395164,85.364097,28-03-2022,12:10,12:20,Stormy,High,0,Snack,motorcycle,1.0,No,Urban,20
38.0,4.9,0.0,0.0,0.08,0.08,18-02-2022,20:40,20:50,Fog,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,51
25.0,4.8,23.359407,85.325055,23.409407,85.375055,01-04-2022,19:30,19:45,Fog,Jam,2,Meal,scooter,0.0,No,Metropolitian,33
